,rank,name,year,rating,genre
91,92.0,Reservoir Dogs,1992,8.3,"Crime,Thriller"
92,93.0,Come and See,1985,8.4,"Drama,Thriller,War"
93,94.0,The Hunt,2012,8.3,Drama
94,95.0,Citizen Kane,1941,8.3,"Drama,Mystery"
95,96.0,M,1931,8.3,"Crime,Mystery,Thriller"
96,97.0,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama"
97,98.0,North by Northwest,1959,8.3,"Action,Adventure,Mystery"
98,99.0,Vertigo,1958,8.3,"Mystery,Romance,Thriller"
99,100.0,Ikiru,1952,8.3,Drama
100,101.0,Amélie,2001,8.3,"Comedy,Romance"
101,102.0,The Apartment,1960,8.3,"Comedy,Drama,Romance"
102,103.0,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi"
103,104.0,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir"
104,105.0,Full Metal Jacket,1987,8.3,"Drama,War"
105,106.0,Top Gun: Maverick,2022,8.3,"Action,Drama"
106,107.0,Scarface,1983,8.3,"Crime,Drama"
107,108.0,Hamilton,2020,8.4,"Biography,Drama,History"
108,109.0,Incendies,2010,8.3,"Drama,Mystery"
109,110.0,To Kill a Mockingbird,1962,8.3,"Crime,Drama"
110,111.0,Heat,1995,8.3,"Action,Crime,Drama"
111,112.0,The Sting,1973,8.3,"Comedy,Crime,Drama"
112,113.0,Up,2009,8.3,"Animation,Adventure,Comedy"
113,114.0,A Separation,2011,8.3,Drama
114,115.0,Metropolis,1927,8.3,"Drama,Sci-Fi"
115,116.0,Taxi Driver,1976,8.2,"Crime,Drama"
116,117.0,L.A. Confidential,1997,8.2,"Crime,Drama,Mystery"
117,118.0,Die Hard,1988,8.2,"Action,Thriller"
118,119.0,Snatch,2000,8.2,"Comedy,Crime"
119,120.0,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure"
120,121.0,Bicycle Thieves,1948,8.3,Drama
121,122.0,Like Stars on Earth,2007,8.3,"Drama,Family"
122,123.0,1917,2019,8.2,"Action,Drama,War"
123,124.0,Downfall,2004,8.2,"Biography,Drama,History"
124,125.0,Dangal,2016,8.3,"Action,Biography,Drama"
125,126.0,For a Few Dollars More,1965,8.2,Western
126,127.0,Batman Begins,2005,8.2,"Action,Crime,Drama"
127,128.0,The Kid,1921,8.3,"Comedy,Drama,Family"
128,129.0,Some Like It Hot,1959,8.2,"Comedy,Music,Romance"
129,130.0,The Father,2020,8.2,"Drama,Mystery"
130,131.0,All About Eve,1950,8.2,Drama
131,132.0,The Wolf of Wall Street,2013,8.2,"Biography,Comedy,Crime"
132,133.0,Green Book,2018,8.2,"Biography,Comedy,Drama"
133,134.0,Judgment at Nuremberg,1961,8.3,"Drama,War"
134,135.0,Casino,1995,8.2,"Crime,Drama"
135,136.0,Ran,1985,8.2,"Action,Drama,War"
136,137.0,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War"
137,138.0,The Truman Show,1998,8.2,"Comedy,Drama"
138,139.0,There Will Be Blood,2007,8.2,Drama
139,140.0,Unforgiven,1992,8.2,"Drama,Western"
140,141.0,The Sixth Sense,1999,8.2,"Drama,Mystery,Thriller"
141,142.0,Shutter Island,2010,8.2,"Mystery,Thriller"
142,143.0,A Beautiful Mind,2001,8.2,"Biography,Drama"
143,144.0,Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi"
144,145.0,Yojimbo,1961,8.2,"Action,Drama,Thriller"
145,146.0,The Treasure of the Sierra Madre,1948,8.2,"Adventure,Drama,Western"
146,147.0,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy"
147,148.0,The Great Escape,1963,8.2,"Adventure,Drama,History"
148,149.0,No Country for Old Men,2007,8.2,"Crime,Drama,Thriller"
149,150.0,Spider-Man: No Way Home,2021,8.2,"Action,Adventure,Fantasy"
150,151.0,Kill Bill: Vol. 1,2003,8.2,"Action,Crime,Drama"
151,152.0,Rashomon,1950,8.2,"Crime,Drama,Mystery"
152,153.0,The Thing,1982,8.2,"Horror,Mystery,Sci-Fi"
153,154.0,Finding Nemo,2003,8.2,"Animation,Adventure,Comedy"
154,155.0,The Elephant Man,1980,8.2,"Biography,Drama"
155,156.0,Chinatown,1974,8.2,"Drama,Mystery,Thriller"
156,157.0,Raging Bull,1980,8.2,"Biography,Drama,Sport"
157,158.0,V for Vendetta,2005,8.2,"Action,Drama,Sci-Fi"
158,159.0,Gone with the Wind,1939,8.2,"Drama,Romance,War"
159,160.0,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action,Comedy,Crime"
160,161.0,Inside Out,2015,8.2,"Animation,Adventure,Comedy"
161,162.0,Dial M for Murder,1954,8.2,"Crime,Thriller"
162,163.0,The Secret in Their Eyes,2009,8.2,"Drama,Mystery,Romance"
163,164.0,Howl's Moving Castle,2004,8.2,"Animation,Adventure,Family"
164,165.0,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy,Crime,Drama"
165,166.0,The Bridge on the River Kwai,1957,8.2,"Adventure,Drama,War"
166,167.0,Trainspotting,1996,8.1,Drama
167,168.0,Prisoners,2013,8.1,"Crime,Drama,Mystery"
168,169.0,Warrior,2011,8.2,"Action,Drama,Sport"
169,170.0,Fargo,1996,8.1,"Crime,Thriller"
170,171.0,Gran Torino,2008,8.1,Drama
171,172.0,My Neighbor Totoro,1988,8.1,"Animation,Comedy,Family"
172,173.0,Catch Me If You Can,2002,8.1,"Biography,Crime,Drama"
173,174.0,Million Dollar Baby,2004,8.1,"Drama,Sport"
174,175.0,Children of Heaven,1997,8.2,"Drama,Family,Sport"
175,176.0,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi"
176,177.0,The Gold Rush,1925,8.1,"Adventure,Comedy,Drama"
177,178.0,Before Sunrise,1995,8.1,"Drama,Romance"
178,179.0,12 Years a Slave,2013,8.1,"Biography,Drama,History"
179,180.0,Klaus,2019,8.2,"Animation,Adventure,Comedy"
180,181.0,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Adventure,Family,Fantasy"
181,182.0,On the Waterfront,1954,8.1,"Crime,Drama,Thriller"
182,183.0,Ben-Hur,1959,8.1,"Adventure,Drama"
183,184.0,Gone Girl,2014,8.1,"Drama,Mystery,Thriller"
184,185.0,The Grand Budapest Hotel,2014,8.1,"Adventure,Comedy,Crime"
185,186.0,Wild Strawberries,1957,8.1,"Drama,Romance"
186,187.0,The General,1926,8.1,"Action,Adventure,Comedy"
187,188.0,The Third Man,1949,8.1,"Film-Noir,Mystery,Thriller"
188,189.0,In the Name of the Father,1993,8.1,"Biography,Crime,Drama"
189,190.0,The Deer Hunter,1978,8.1,"Drama,War"
190,191.0,Barry Lyndon,1975,8.1,"Adventure,Drama,War"
191,192.0,Hacksaw Ridge,2016,8.1,"Biography,Drama,History"
192,193.0,The Wages of Fear,1953,8.2,"Adventure,Drama,Thriller"
193,194.0,Memories of Murder,2003,8.1,"Crime,Drama,Mystery"
194,195.0,Sherlock Jr.,1924,8.2,"Action,Comedy,Romance"
195,196.0,Wild Tales,2014,8.1,"Comedy,Drama,Thriller"
196,197.0,Mr. Smith Goes to Washington,1939,8.1,"Comedy,Drama"
197,198.0,Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi"
198,199.0,The Seventh Seal,1957,8.1,"Drama,Fantasy"
199,200.0,Mary and Max,2009,8.1,"Animation,Comedy,Drama"
200,201.0,How to Train Your Dragon,2010,8.1,"Animation,Action,Adventure"
201,202.0,Room,2015,8.1,"Drama,Thriller"
202,203.0,"Monsters, Inc.",2001,8.1,"Animation,Adventure,Comedy"
203,204.0,Jaws,1975,8.1,"Adventure,Thriller"
204,205.0,Dead Poets Society,1989,8.1,"Comedy,Drama"
205,206.0,The Big Lebowski,1998,8.1,"Comedy,Crime"
206,207.0,Tokyo Story,1953,8.2,Drama
207,208.0,The Passion of Joan of Arc,1928,8.2,"Biography,Drama,History"
208,209.0,Hotel Rwanda,2004,8.1,"Biography,Drama,History"
209,210.0,Ford v Ferrari,2019,8.1,"Action,Biography,Drama"
210,211.0,Rocky,1976,8.1,"Drama,Sport"
211,212.0,Platoon,1986,8.1,"Drama,War"
212,213.0,Ratatouille,2007,8.1,"Animation,Adventure,Comedy"
213,214.0,Spotlight,2015,8.1,"Biography,Crime,Drama"
214,215.0,The Terminator,1984,8.1,"Action,Sci-Fi"
215,216.0,Logan,2017,8.1,"Action,Drama,Sci-Fi"
216,217.0,Stand by Me,1986,8.1,"Adventure,Drama"
217,218.0,Rush,2013,8.1,"Action,Biography,Drama"
218,219.0,Network,1976,8.1,Drama
219,220.0,Into the Wild,2007,8.1,"Adventure,Biography,Drama"
220,221.0,Before Sunset,2004,8.1,"Drama,Romance"
221,222.0,The Wizard of Oz,1939,8.1,"Adventure,Family,Fantasy"
222,223.0,Pather Panchali,1955,8.3,Drama
223,224.0,Groundhog Day,1993,8.1,"Comedy,Drama,Fantasy"
224,225.0,The Best Years of Our Lives,1946,8.1,"Drama,Romance,War"
225,226.0,The Exorcist,1973,8.1,Horror
226,227.0,The Incredibles,2004,8.0,"Animation,Action,Adventure"
227,228.0,To Be or Not to Be,1942,8.2,"Comedy,Romance,War"
228,229.0,La haine,1995,8.1,"Crime,Drama"
229,230.0,The Battle of Algiers,1966,8.1,"Drama,War"
230,231.0,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action,Adventure,Fantasy"
231,232.0,Hachi: A Dog's Tale,2009,8.1,"Biography,Drama,Family"
232,233.0,The Grapes of Wrath,1940,8.1,Drama
233,234.0,Jai Bhim,2021,8.8,"Crime,Drama,Mystery"
234,235.0,My Father and My Son,2005,8.2,"Drama,Family"
235,236.0,Amores Perros,2000,8.1,"Drama,Thriller"
236,237.0,Rebecca,1940,8.1,"Drama,Film-Noir,Mystery"
237,238.0,Cool Hand Luke,1967,8.1,"Crime,Drama"
238,239.0,The Handmaiden,2016,8.1,"Drama,Romance,Thriller"
239,240.0,The 400 Blows,1959,8.1,"Crime,Drama"
240,241.0,The Sound of Music,1965,8.1,"Biography,Drama,Family"
241,242.0,It Happened One Night,1934,8.1,"Comedy,Romance"
242,243.0,Persona,1966,8.1,"Drama,Thriller"
243,244.0,Life of Brian,1979,8.0,Comedy
244,245.0,The Iron Giant,1999,8.1,"Animation,Action,Adventure"
245,246.0,The Help,2011,8.1,Drama
246,247.0,Dersu Uzala,1975,8.2,"Adventure,Biography,Drama"
247,248.0,Aladdin,1992,8.0,"Animation,Adventure,Comedy"
248,249.0,Gandhi,1982,8.0,"Biography,Drama,History"
249,250.0,Dances with Wolves,1990,8.0,"Adventure,Drama,Western"
